Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2012","2012","ha","130308","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2012","2012","kg/ha","10099.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2012","2012","toneladas","1316104","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2013","2013","ha","144244","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2013","2013","kg/ha","10176.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2013","2013","toneladas","1467837","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2014","2014","ha","153771","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2014","2014","kg/ha","9889.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2014","2014","toneladas","1520694.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2015","2015","ha","166945","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2015","2015","kg/ha","9848.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2015","2015","toneladas","1644225.86","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2016","2016","ha","180536","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2016","2016","kg/ha","10465.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2016","2016","toneladas","1889353.51","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2017","2017","ha","188723","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2017","2017","kg/ha","10755.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2017","2017","toneladas","2029885.85","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2018","2018","ha","206389","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2018","2018","kg/ha","10585.2","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2018","2018","toneladas","2184663.07","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2019","2019","ha","215942","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2019","2019","kg/ha","10655.1","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2019","2019","toneladas","2300888.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2020","2020","ha","224422","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2020","2020","kg/ha","10666.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2020","2020","toneladas","2393848.57","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2021","2021","ha","226534","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2021","2021","kg/ha","10784","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2021","2021","toneladas","2442944.64","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2022","2022","ha","236132","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2022","2022","kg/ha","10759.7","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2022","2022","toneladas","2540715.37","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2023","2023","ha","253309","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2023","2023","kg/ha","11738","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2023","2023","toneladas","2973344.42","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5312","Área cosechada","01311","Aguacates","2024","2024","ha","253044","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5412","Rendimiento","01311","Aguacates","2024","2024","kg/ha","10912.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","484","México","5510","Producción","01311","Aguacates","2024","2024","toneladas","2761327.85","A","Cifra oficial",""
