"Periodo","Superficie_de_AICA_dentro_de_ANP_en_zonas_de_montaña",
"2024","4,921,684.478866",
"2023","4,789,598",
"2022","4,796,673.796067",
"2021","4,796,673.796067",
"2020","4,796,673.796067",
"2019","4,796,673.796067",
"2018","4,796,673.796067",
"2017","4,796,673.796067",
"2016","4,796,673.796067",
"2015","4,512,097.662433",
"2014","4,275,638.216818",
"2013","4,275,638.216818",
"2012","4,275,638.216818",
"2011","4,275,638.216818",
"2010","4,275,638.216818",
"2009","4,275,638.216818",
"2008","4,161,727.974776",
"2007","4,161,727.974776",
"2006","3,645,154.89924",
"2005","3,645,154.89924",
"2004","3,645,154.89924",
"2003","3,645,154.89924",
"2002","3,645,154.89924",
"2001","3,645,154.89924",
"2000","3,645,154.89924",
"1999","3,645,154.89924",
