"Periodo","Cobertura_de_las_zonas_terrestres_protegidas_en_relación_con_el_territorio_terrestre",
"2024","11.71537023",
"2023","11.20634916",
"2022","10.88042029",
"2021","10.87214791",
"2020","10.81555972",
"2019","10.81555972",
"2018","10.81555972",
"2017","10.81555972",
"2016","10.80765989",
"2015","10.60015504",
"2014","10.59550911",
"2013","10.59550911",
"2012","10.59550911",
"2011","10.59191878",
"2010","10.59191878",
"2009","10.52377783",
"2008","10.05083858",
"2007","10.02319706",
"2006","9.767398781",
"2005","9.767398781",
"2004","9.397028103",
"2003","9.397028103",
"2002","9.39378108",
"2001","9.39378108",
"2000","9.388435966",
"1999","9.147937843",
"1998","9.035270272",
"1997","8.699016323",
"1996","8.503754497",
"1995","8.445084207",
"1994","8.30101729",
"1993","7.592090874",
