entidad,Encino,Otras,Pino
00 NAL,1160164.2932,592798.3403,7528399.0691
01 AGS,1317.0,155.0,0.0
02 BCN,0.0,4.0,2600.0
03 BCS,0.0,679.98,0.0
04 CAM,0.0,5718.0,0.0
06 COL,335.0,120.0,974.0
07 CHS,3893.007,1296.639,30387.791
08 CHI,114844.909,13181.22,1800391.2751
09 CDM,0.0,3410.51,0.0
10 DGO,792693.088,27919.768,4173803.736
11 GTO,14961.0,615.0,160.6858
12 GRO,18813.085,701.49,103533.275
13 HGO,6487.68,4619.6990000000005,46786.545
14 JAL,16432.2234,3851.887,114412.243
15 MEX,23868.263,78443.41480000001,113254.7204
16 MIC,33669.705,26623.591,268149.3671
18 NAY,10205.92,113323.088,46835.7
19 NLN,700.0,0.0,16930.0
20 OAX,53990.2644,3325.2452,297406.8204
21 PUE,43530.203,73238.29000000001,305692.0044
22 QRO,8393.163,20.0,6776.9875
23 QTR,0.0,23392.894800000002,0.0
24 SLP,3084.9024,3066.278,10686.0
25 SIN,1233.56,1471.21,28773.2914
26 SON,3212.0,16431.0,19187.987
27 TAB,0.0,25557.21,0.0
28 TAM,1638.34,140890.0,7367.43
29 TLA,606.448,11021.719,17272.394
30 VER,2670.212,10962.1565,108461.816
31 YUC,0.0,822.57,0.0
32 ZAC,3584.32,1936.48,8555.0
