ENT_FED,ha_agricola_total,ha_forestal_total,ha_aguacate,ton_aguacate,cuota_produccion_nacional,indice_presion_forestal
16 MIC,5280010.245,860520.4112,329754.2656,3424252.5424,1.3780601375979638,0.38320285969428297
14 JAL,9456260.1512,605171.102,75830.3576,777169.5732,0.31276501826886477,0.12530378936734266
18 NAY,2147689.7342,1188795.8412,26577.7058,195798.4412,0.07879735021892548,0.022356810582682764
15 MEX,2054078.134,487374.6176,18389.3496,121864.2634,0.04904319453949352,0.03773136967859674
31 YUC,3282680.8756,297033.7636,25188.7762,121642.4394,0.04895392343341199,0.08480076841753212
17 MOR,441034.911,153478.0384,17827.6808,105524.1586,0.04246726394143345,0.11615710513859982
30 VER,11681135.016,84545.2338,17123.5142,48638.6896,0.019574210270070364,0.20253432270569102
21 PUE,3422181.6024,188395.7,13907.3536,38564.2434,0.015519838536475976,0.07381951807011482
12 GRO,5167591.6084,1153314.2654,8224.7004,21185.6048,0.008525959199645298,0.007131354840038
07 CHS,9303099.813,116601.0376,9180.6558,19587.8756,0.007882967219955298,0.07873495171237042
06 COL,595679.502,7150.3452,2346.698,15954.981,0.0064209409323596894,0.32814777281342816
26 SON,20181091.7406,263215.6036,1050.5686,14665.5708,0.0059020292061857695,0.003991270252831422
20 OAX,6069877.4334,1577686.5482,10452.2994,14570.1204,0.005863616037259395,0.006625075676058378
27 TAB,3901234.61,19983.1472,4915.7936,12005.283,0.004831419919538728,0.24598465727874544
25 SIN,5510240.792,509603.4454,884.7252,4987.803,0.0020072971848256326,0.0017361018099156479
11 GTO,3587310.199,144449.6588,1049.5348,4809.9892,0.001935737594327943,0.007265697565652085
23 QTR,1464534.6734,1709130.8368,4134.7108,4681.0806,0.0018838594688526961,0.0024191877484076364
13 HGO,2020381.1554,132108.2784,4194.0082,4576.902,0.0018419337130642106,0.03174650751858168
04 CAM,4560757.0688,1851409.2886,5167.1948,4048.362,0.0016292274666331184,0.0027909506778788246
24 SLP,4346459.9158,580974.2954,1352.4984,3343.6132,0.001345607547753154,0.00232797919413907
05 COA,12528595.252,920933.1184,283.4164,2954.3474,0.001188950970801559,0.00030774883277470287
10 DGO,4573789.3736,8000870.655,996.993,2534.0024,0.001019786844801488,0.00012461054782411706
19 NLN,6165255.4396,572810.3752,927.2984,2508.0616,0.0010093471993679927,0.0016188547227719231
22 QRO,816776.0594,133533.941,505.7,1207.9372,0.000486123638204267,0.003787023802257119
01 AGS,596106.6592,31290.6408,135.9984,920.5468000000001,0.0003704659145800756,0.004346157520765098
32 ZAC,6044128.53,233201.3226,221.6166,665.5884,0.00026786016239466496,0.0009503190085294631
03 BCS,2445485.1086,513298.0622,166.3786,476.4154,0.00019172916236418673,0.0003241357957813156
08 CHI,25034664.0842,5777818.464,514.2484,164.0914,6.603713203470482e-05,8.900388861302087e-05
29 TLA,490125.2462,33825.7312,143.9388,152.9026,6.153429847420194e-05,0.004255179111128538
28 TAM,9930295.6564,952972.1764,148.271,147.3322,5.9292540281596345e-05,0.00015558780002614142
02 BCN,2738347.0792,2125765.7944,21.3224,50.4656,2.0309434195884733e-05,1.0030451155870213e-05
09 CDM,51303.074,66100.1412,23.2768,17.4694,7.0304054591957434e-06,0.0003521391548985844
