iso,adm1,adm2,umd_tree_cover_extent_2010__ha,area__ha,municipio
MEX,16,1,8549.179282654628,17633.825194686684,Acuitzio
MEX,16,2,76715.44713295993,139685.44702324877,Aguililla
MEX,16,3,533.4229750684199,15952.012027334358,Álvaro Obregón
MEX,16,4,2030.106935313349,24028.890228193544,Angamacutiro
MEX,16,5,4940.60586199898,7683.831914496827,Angangueo
MEX,16,6,49973.12151756521,164026.75622552156,Apatzingán
MEX,16,7,3566.5951477338513,5841.411178127581,Aporo
MEX,16,8,175568.37699596438,226308.4703407332,Aquila
MEX,16,9,42064.90507522697,69516.60997598156,Ario
MEX,16,10,196799.51169929936,343444.56588331924,Arteaga
MEX,16,11,104.10205352061217,6767.613753721166,Briseñas
MEX,16,12,10393.067900661135,92238.56785521172,Buenavista
MEX,16,13,34876.647116341606,91810.14611774664,Carácuaro
MEX,16,14,10988.50888125709,23376.751195233595,Charapan
MEX,16,15,15139.647735175846,32302.222038923705,Charo
MEX,16,16,2962.375508875467,15205.834587912692,Chavinda
MEX,16,17,15372.008564245672,22237.333721382103,Cherán
MEX,16,18,16563.94002066536,30458.302196204113,Chilchota
MEX,16,19,82822.24847361808,102201.7416460161,Chinicuila
MEX,16,20,6542.982981347064,19231.841840540103,Chucándiro
MEX,16,21,6461.593386475219,22941.35033262686,Churintzio
MEX,16,22,23342.595216973616,110903.57476127196,Churumuco
MEX,16,23,19407.138160416147,36571.939088470725,Coahuayana
MEX,16,24,234796.42830989545,282637.3129983308,Coalcomán de Vázquez Pallares
MEX,16,25,11746.130074447228,39368.206658622235,Coeneo
MEX,16,26,3401.564391163796,13111.383432623255,Cojumatlán de Régules
MEX,16,27,3684.7264167128496,37881.34503919541,Contepec
MEX,16,28,1557.432996350762,17327.6322794633,Copándaro
MEX,16,29,23590.907253894267,50500.62741289686,Cotija
MEX,16,30,1383.2382852186772,25442.200210266852,Cuitzeo
MEX,16,31,8161.917823813589,30417.650727653876,Ecuandureo
MEX,16,32,4271.691986246407,42361.28457337298,Epitacio Huerta
MEX,16,33,12097.42299604306,24397.112976185377,Erongarícuaro
MEX,16,34,11707.258814565492,36732.25119775034,Gabriel Zamora
MEX,16,35,75756.85369730125,114342.61860925647,Hidalgo
MEX,16,36,3321.571861242804,9619.511522184746,Huandacareo
MEX,16,37,6629.105925139042,20056.01821916831,Huaniqueo
MEX,16,38,24273.35545069548,205727.5532527129,Huetamo
MEX,16,39,1963.0787165410256,7910.694428659501,Huiramba
MEX,16,40,6156.050319089541,17649.345881023073,Indaparapeo
MEX,16,41,1571.604097289539,12665.275063250921,Irimbo
MEX,16,42,1543.7653155389105,12389.700735298513,Ixtlán
MEX,16,43,2889.686431216458,11868.99042004196,Jacona
MEX,16,44,2414.9120461250723,19449.597292239312,Jiménez
MEX,16,45,5655.27793445322,24320.032685850736,Jiquilpan
MEX,16,46,2417.7363434943386,21970.39276116669,José Sixto Verduzco
MEX,16,47,6061.74805375495,14099.574480281648,Juárez
MEX,16,48,12584.42702469602,26549.231555730643,Jungapeo
MEX,16,49,38444.4607954564,195202.75854094353,La Huacana
MEX,16,50,4173.752981096533,28474.863036659022,La Piedad
MEX,16,51,1100.355850025604,7268.085270825053,Lagunillas
MEX,16,52,66157.6060678025,114897.33013170732,Lázaro Cárdenas
MEX,16,53,28584.936197452647,48086.23314479376,Los Reyes
MEX,16,54,71370.80033985965,101960.72020900178,Madero
MEX,16,55,7550.348997371738,69768.52320005369,Maravatío
MEX,16,56,3958.0688884426495,23303.283469411777,Marcos Castellanos
MEX,16,57,34783.39767361568,119217.6258388546,Morelia
MEX,16,58,4767.456701912968,18338.41435759837,Morelos
MEX,16,59,754.2518611253824,37756.70856449601,Múgica
MEX,16,60,18015.15730202033,30416.833798773,Nahuatzen
MEX,16,61,23350.329884174374,54551.83844980044,Nocupétaro
MEX,16,62,19007.377585379705,23495.830505805778,Nuevo Parangaricutiro
MEX,16,63,19248.281642311973,33041.52865777095,Nuevo Urecho
MEX,16,64,85.31032757810999,7689.357947638749,Numarán
MEX,16,65,8254.780249335092,14224.81723026744,Ocampo
MEX,16,66,1779.844594234639,17037.66589698279,Pajacuarán
MEX,16,67,7412.962567485699,28922.7619002654,Panindícuaro
MEX,16,68,11517.979632171537,24418.50534960111,Paracho
MEX,16,69,2965.649117510336,50339.457533688605,Parácuaro
MEX,16,70,23142.172243318106,43851.610929255214,Pátzcuaro
MEX,16,71,7038.600010310955,37123.75713092594,Penjamillo
MEX,16,72,20686.451316621937,33180.774379342925,Peribán
MEX,16,73,8022.9484080817265,19267.3015541799,Purépero
MEX,16,74,17563.949957232904,71889.7887400257,Puruándiro
MEX,16,75,14221.595455763229,23484.23253884484,Queréndaro
MEX,16,76,11352.602125638396,21336.43364977359,Quiroga
MEX,16,77,1851.1089438377776,12813.04059989182,Sahuayo
MEX,16,78,23058.455154753345,48785.14577626853,Salvador Escalante
MEX,16,79,3382.0238312147885,46792.26445666706,San Lucas
MEX,16,80,1171.3697447500208,10410.88535135952,Santa Ana Maya
MEX,16,81,10553.542195015765,25032.518313318276,Senguio
MEX,16,82,10919.708417681633,26795.29135786829,Susupuato
MEX,16,83,41063.48361856141,78683.028330801,Tacámbaro
MEX,16,84,52634.30521360537,71427.15756158049,Tancítaro
MEX,16,85,15894.707182144852,31609.32456538347,Tangamandapio
MEX,16,86,13796.128749486532,38515.461295490066,Tangancícuaro
MEX,16,87,4560.1609129964245,22804.859179445128,Tanhuato
MEX,16,88,7845.14714133135,18510.516718167954,Taretan
MEX,16,89,1253.8058858196953,25585.62395597904,Tarímbaro
MEX,16,90,13302.169372841341,79811.26035935542,Tepalcatepec
MEX,16,91,13840.9576277791,18973.07740780057,Tingambato
MEX,16,92,9929.692793059176,17276.772066571575,Tingüindín
MEX,16,93,58231.16064061919,149300.04501526375,Tiquicheo de Nicolás Romero
MEX,16,94,7605.178322369649,19719.64338843636,Tlalpujahua
MEX,16,95,7561.619584901009,20375.880490352934,Tlazazalca
MEX,16,96,28273.32937767992,50605.59424099493,Tocumbo
MEX,16,97,141604.57694721405,206244.9547209252,Tumbiscatío
MEX,16,98,65287.78469036222,154610.29690590053,Turicato
MEX,16,99,11840.710038036175,24344.54851158894,Tuxpan
MEX,16,100,39189.40517837577,101809.5829518248,Tuzantla
MEX,16,101,6035.23526796719,18437.81285377617,Tzintzuntzan
MEX,16,102,57805.61109036785,94130.70394253395,Tzitzio
MEX,16,103,64269.48691130161,101297.08625753212,Uruapan
MEX,16,104,647.8709824423179,22762.88180244802,Venustiano Carranza
MEX,16,105,7571.824502392328,35017.41290728021,Villamar
MEX,16,106,132.49002072180085,14760.547250380692,Vista Hermosa
MEX,16,107,4270.720382258272,17437.903122501455,Yurécuaro
MEX,16,108,19645.416760258497,45463.59579918488,Zacapu
MEX,16,109,6774.04984542607,33504.33141690625,Zamora
MEX,16,110,1436.4096265543967,11317.485356469208,Zináparo
MEX,16,111,20184.53592295993,59641.06329097189,Zinapécuaro
MEX,16,112,9958.89991024372,15999.841599635312,Ziracuaretiro
MEX,16,113,26744.83826615013,51258.742386288555,Zitácuaro
