anio,ha_perdida_primaria
2001,1156.3091739321058
2002,320.7463114624566
2003,179.83524497109917
2004,486.05363365683354
2005,469.3169544082854
2006,555.0904452454015
2007,866.6949235386979
2008,539.1315394665407
2009,718.9057936425497
2010,621.2682812210608
2011,797.1331335436001
2012,714.0505393628541
2013,733.4217776606814
2014,594.5874442754512
2015,639.2014770077418
2016,996.7694966861704
2017,929.2283839659914
2018,1731.9767485242996
2019,886.8939793679478
2020,694.7641659214951
2021,1531.3028779586436
2022,1054.4191614054148
2023,803.8787505777509
2024,1494.323394146014
